,0,1
23,Barclays," @Barclays esg OR @Barclays ""clean energy"" OR @Barclays ""global goals"" OR @Barclays eco OR @Barclays ""climate action"" OR @Barclays ""eco friendly"" OR @Barclays ""plastic free"" OR @Barclays nature OR @Barclays ""sustainable development"" OR @Barclays sustainability OR @Barclays philanthropy OR @Barclays ""social good"" OR @Barclays ""zero hunger"" OR @Barclays ""social impact"" OR @Barclays ""replace plastic"" OR @Barclays ""good governance"" OR @Barclays ""procurement with purpose"" -""credit score"" lang:en -is:retweet"
24,Standard Chartered,"@StanChart #sustainability OR @StanChart #environment OR @StanChart #climatechange OR @StanChart #csr OR @StanChart #renewables OR @StanChart #sdgs OR @StanChart #green OR @StanChart #sustainable OR @StanChart #earthday OR @StanChart #renewableenergy OR @StanChart #circulareconomy OR @StanChart #climate OR @StanChart #water OR @StanChart #recycling OR @StanChart #energyefficiency OR @StanChart #esg OR @StanChart #cleanenergy OR @StanChart #globalgoals OR @StanChart #eco -""credit score"" lang:en -is:retweet"
25,Standard Chartered," @StanChart #climateaction OR @StanChart #ecofriendly OR @StanChart #plasticfree OR @StanChart #nature OR @StanChart sustainability OR @StanChart impact OR @StanChart ""sustainable development"" OR @StanChart ""climate change"" OR @StanChart ecosystem OR @StanChart environment OR @StanChart conservation OR @StanChart ""climate finance"" OR @StanChart adaptation OR @StanChart mitigation OR @StanChart ""carbon finance"" OR @StanChart emission OR @StanChart #sustainabledevelopmemt  -""credit score"" lang:en -is:retweet"
26,Standard Chartered," @StanChart #sustainability OR @StanChart #philanthropy OR @StanChart #socialgood OR @StanChart #zerohunger OR @StanChart #development OR @StanChart #transformingcommerce OR @StanChart #socialimpact OR @StanChart #replaceplastic OR @StanChart #goodgovernance OR @StanChart #procurementwithpurpose OR @StanChart #activistinvestors OR @StanChart #activistinvesting OR @StanChart #shareholderactivism OR @StanChart #socents OR @StanChart #imapct OR @StanChart #impinv -""credit score"" lang:en -is:retweet"
27,Standard Chartered," @StanChart #socimp OR @StanChart #impactinvesting OR @StanChart #socinn OR @StanChart #socinv OR @StanChart #socialenterprise OR @StanChart #socialimpact OR @StanChart #corpgov OR @StanChart #greenwashing OR @StanChart csr OR @StanChart renewables OR @StanChart sdgs OR @StanChart green OR @StanChart sustainable OR @StanChart earthday OR @StanChart ""renewable energy"" OR @StanChart ""circular economy"" OR @StanChart climate OR @StanChart water OR @StanChart recycling -""credit score"" lang:en -is:retweet"
28,Standard Chartered," @StanChart ""energy efficiency"" OR @StanChart esg OR @StanChart ""clean energy"" OR @StanChart ""global goals"" OR @StanChart eco OR @StanChart ""climate action"" OR @StanChart ""eco friendly"" OR @StanChart ""plastic free"" OR @StanChart nature OR @StanChart ""sustainable development"" OR @StanChart sustainability OR @StanChart philanthropy OR @StanChart ""social good"" OR @StanChart ""zero hunger"" OR @StanChart ""social impact"" OR @StanChart ""replace plastic"" -""credit score"" lang:en -is:retweet"
29,Santander UK,"@santanderuk #sustainability OR @santanderuk #environment OR @santanderuk #climatechange OR @santanderuk #csr OR @santanderuk #renewables OR @santanderuk #sdgs OR @santanderuk #green OR @santanderuk #sustainable OR @santanderuk #earthday OR @santanderuk #renewableenergy OR @santanderuk #circulareconomy OR @santanderuk #climate OR @santanderuk #water OR @santanderuk #recycling OR @santanderuk #energyefficiency OR @santanderuk #esg OR @santanderuk #cleanenergy -""credit score"" lang:en -is:retweet"
30,Santander UK," @santanderuk #globalgoals OR @santanderuk #eco OR @santanderuk #climateaction OR @santanderuk #ecofriendly OR @santanderuk #plasticfree OR @santanderuk #nature OR @santanderuk sustainability OR @santanderuk impact OR @santanderuk ""sustainable development"" OR @santanderuk ""climate change"" OR @santanderuk ecosystem OR @santanderuk environment OR @santanderuk conservation OR @santanderuk ""climate finance"" OR @santanderuk adaptation OR @santanderuk mitigation -""credit score"" lang:en -is:retweet"
31,Santander UK," @santanderuk ""carbon finance"" OR @santanderuk emission OR @santanderuk #sustainabledevelopmemt  OR @santanderuk #sustainability OR @santanderuk #philanthropy OR @santanderuk #socialgood OR @santanderuk #zerohunger OR @santanderuk #development OR @santanderuk #transformingcommerce OR @santanderuk #socialimpact OR @santanderuk #replaceplastic OR @santanderuk #goodgovernance OR @santanderuk #procurementwithpurpose OR @santanderuk #activistinvestors -""credit score"" lang:en -is:retweet"
32,Santander UK," @santanderuk #activistinvesting OR @santanderuk #shareholderactivism OR @santanderuk #socents OR @santanderuk #imapct OR @santanderuk #impinv OR @santanderuk #socimp OR @santanderuk #impactinvesting OR @santanderuk #socinn OR @santanderuk #socinv OR @santanderuk #socialenterprise OR @santanderuk #socialimpact OR @santanderuk #corpgov OR @santanderuk #greenwashing OR @santanderuk csr OR @santanderuk renewables OR @santanderuk sdgs OR @santanderuk green -""credit score"" lang:en -is:retweet"
33,Santander UK," @santanderuk sustainable OR @santanderuk earthday OR @santanderuk ""renewable energy"" OR @santanderuk ""circular economy"" OR @santanderuk climate OR @santanderuk water OR @santanderuk recycling OR @santanderuk ""energy efficiency"" OR @santanderuk esg OR @santanderuk ""clean energy"" OR @santanderuk ""global goals"" OR @santanderuk eco OR @santanderuk ""climate action"" OR @santanderuk ""eco friendly"" OR @santanderuk ""plastic free"" OR @santanderuk nature -""credit score"" lang:en -is:retweet"
