,id,created_at,text,company
41,1476487360699420673,2021-12-30 09:36:33+00:00,RT @LBGAmbEast: It’s vital that our thinking on #ESG is not limited to being more eco-friendly. Good #governance &amp; #inclusive recruitment a…,Lloyds Banking Group
42,1476235094440488962,2021-12-29 16:54:08+00:00,It’s vital that our thinking on #ESG is not limited to being more eco-friendly. Good #governance &amp; #inclusive recruitment are important too! An interesting piece from @LBGplc which highlights how businesses can address all elements of ESG: https://t.co/Hxby9ENz6L,Lloyds Banking Group
43,1476625745187332098,2021-12-30 18:46:26+00:00,"RT @AsifBurhan: Six weeks after The FA published a strategy with the aim of having 24-28 professional, sustainable women's teams &amp; six days…",Barclays
44,1476625463099469825,2021-12-30 18:45:19+00:00,"Six weeks after The FA published a strategy with the aim of having 24-28 professional, sustainable women's teams &amp; six days after it announced @Barclays as the first title sponsor of the @FAWomensChamp, @CovUnitedLFC went into liquidation For @ForbesSports https://t.co/ksoHt3eXIQ https://t.co/NETinp2NXS",Barclays
45,1475067839451127814,2021-12-26 11:35:53+00:00,"RT @AlysFowler: European banks that cash in on climate chaos? @DeutscheBank, @HSBC, @Barclays and @CreditSuisse... Tell them to STOP now ht…",Barclays
46,1474279984327974925,2021-12-24 07:25:13+00:00,RT @BFezziwig: He’s making a list and checking it twice - time to stop rolling the climate change dice @Barclays @Shell @HSBC @Chevron  @Gr…,Barclays
47,1476488500187111424,2021-12-30 09:41:04+00:00,@LFC @StanChart milly impact sub⚡️⚡️,Standard Chartered
48,1475479081584058376,2021-12-27 14:50:00+00:00,"Clifford Chance conseille @DeutscheBank, @jpmorgan et @StanChart dans le cadre de l'offre de rachat et de la nouvelle émission d'#obligations de la #Républiquegabonaise. https://t.co/WRWuT4xIyB",Standard Chartered
49,1475359661243056129,2021-12-27 06:55:28+00:00,RT @yusufbaluch_: @StanChart bank is commiting a ecocide in Balochistan by funding CPEC (China Pakistan Economic cooridor) projects which a…,Standard Chartered
50,1475183807032696844,2021-12-26 19:16:41+00:00,@StanChart bank is commiting a ecocide in Balochistan by funding CPEC (China Pakistan Economic cooridor) projects which are hazardous for the ecosystem and indeginous communities there. https://t.co/ZkescYTAHz,Standard Chartered
51,1476134109969883141,2021-12-29 10:12:51+00:00,Many r still away from getting safe #water 2 drink! However 4 Supana village in UP this has changed as now there is 24/7 access 2 a safe drinking water facility blessed by @StanChart.d #community  welcomed this by joining d inauguration ceremony &amp; enrolling in membership cards. https://t.co/b8WhqqXF2A,Standard Chartered
52,1476112249777491968,2021-12-29 08:45:59+00:00,RT @GretaThunberg: #COP26: GREENWASH ALERT!  The fossil fuel industry &amp; banks caused are among the biggest climate villains. Now @Shell @BP…,Standard Chartered
53,1475800274837151751,2021-12-28 12:06:19+00:00,"In the year the UK hosted #COP26, we shone a light with @urgewald on the City of London’s coal exposure…  It revealed huge backing for the highly polluting fossil fuel, which new policies from @StanChart and @HSBC have failed to fully halt..  https://t.co/hfWZZfnNMS",Standard Chartered
54,1475729379212898305,2021-12-28 07:24:36+00:00,RT @climate: Our governments. Our health. Our cities. Our transportation. Our energy.  Backed by the most powerful data engine on the plane…,Standard Chartered
55,1475622524381798409,2021-12-28 00:20:00+00:00,"Our governments. Our health. Our cities. Our transportation. Our energy.  Backed by the most powerful data engine on the planet, Bloomberg Green is focused on solutions at the center of it all.  Sponsored by: @GM, @JLL, @McKinsey &amp; @StanChart  Learn more: https://t.co/CLjEhKe2SM https://t.co/wv43pyyLlb",Standard Chartered
56,1475426756530221057,2021-12-27 11:22:05+00:00,"इस पानी की एक-एक बूंद हमारे लिए अनमोल है|- शारदा देवी (43), मोप,महाराष्ट्र|  एक सुरक्षित पेयजल सुविधा की प्रावधान @StanChart  ने #CSR गतिविधियां के तहत किया है| #water  #StaySafe  @KarunaBhatia3 https://t.co/XGD6kkL1L4",Standard Chartered
57,1476500837476220932,2021-12-30 10:30:06+00:00,"Nature-based solutions can mitigate climate change effects on agricultural sector, but market imperfections persist https://t.co/GfBcrid5v0 @ImperialBiz @StanChart https://t.co/rvuiv0HZMA",Standard Chartered
58,1476213953067991040,2021-12-29 15:30:07+00:00,"Against the backdrop of enormous changes in the UK banking environment, @santanderuk was able to translate strategy into delivery. See how: https://t.co/q1FwcIROxf https://t.co/uiQyofUrB3",Santander UK
59,1475816706308247553,2021-12-28 13:11:36+00:00,"RT @Nat_Numeracy: 🎊Together with @TPICAPGroupPLC,  @Experian_UK  and @santanderuk, we inspired 40,062 actions towards building confidence w…",Santander UK
60,1475815298410364928,2021-12-28 13:06:01+00:00,"🎊Together with @TPICAPGroupPLC,  @Experian_UK  and @santanderuk, we inspired 40,062 actions towards building confidence with numbers during #NumberConfidenceWeek!  💙Big thanks to everyone who made this possible.  Read more in our impact report 👉 https://t.co/gQaOYFg96X https://t.co/xNvDvA9hxm",Santander UK
